,Asset Type,Description,Manufacturer,Model,Chemistry,Biology,Health Science Physiology,Math,Physics,Physical Earth Science,K-5,6-8,9-12,Models & Kits,Classroom Manipulative,Equipment,Classroom Technology,Tech.,Books & CD,Calculators
324,Mini Gas Chromatographer,,Vernier Software & Technology,,x,,,,x,,,,,,,x,,,,
331,Motion Detector,"An attchment for use with the Vernier LabQuest to collect position, velocity, and acceleration data of moving objects.",Vernier Software & Technology,MD-BTD,,,,,x,,,,,,,x,,,,
335,National Optical Digital Scope,Compound scope and box of accessories, ,,x,x,,,x,x,,,,,,x,,,,
336,Nervous System Model,,Somso,,,x,x,,,,,,,x,,,,,,
337,NexStar 130SLT Telescope,,Celestron,,,,,,,x,,,,,,x,,,,
339,Nitrate Ion-Select. Electrode,,Vernier Software & Technology,,x,,,,,,,,,,,x,,,,
346,O2 Gas Sensor,A probe for use with the Vernier LabQuest used to monitor gaseous oxygen levels.,Vernier Software & Technology,O2-BTA,x,x,x,,x,,,,,,,x,,,,
347,Oakton Aspirator Pump,, ,,,,,,,,,,,,,x,,,,
351,Optics Expansion Kit,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
353,ORP Sensor,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
357,Pedometer,,Carolina,,,x,x,,,,,,,,,x,,,,
360,pH Sensor,Probe for use with the Vrenier LabQuest to take a pH reading.,Vernier Software & Technology,PH-BTA,x,x,,,x,x,,,,,,x,,,,
361,Photogates,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
364,Picket Fence,Accesory for use with Vernier Photogate.,Vernier Software & Technology,PF,,,,,x,,,,,,,x,,,,
372,Power Amplifier,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
376,Primary Pan Balance,ELEM,SI Manufacturing,,x,x,,,x,x,,,,,,x,,,,
377,Pro Balance,Science scale, ,,x,x,,,x,x,,,,,,x,,,,
384,Radiometer,, ,,,,,,,x,,,,,,x,,,,
390,Respiration Monitor Belt,An attachement for use with the Vernier LabQuest to measure human respiration rates.,Vernier Software & Technology,RMB,,x,x,,,,,,,,,x,,,,
392,Ruler,ELEM,NASCO,,x,x,x,x,x,x,,,,,,x,,,,
393,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Vernier Software & Technology,SAL-BTA,x,x,,,,x,,,,,,x,,,,
405,Seisometer,, ,,,,,,,x,,,,,,x,,,,
406,Simple Circuits,, ,,,,,,x,,,,,,,x,,,,
407,Single-Head Stethoscope,Barrington Diagnostics Professional Series, ,,,,x,,,,,,,,,x,,,,
413,Small Blood Pressure Cuff,,Vernier Software & Technology,,,,x,,,,,,,,,x,,,,
421,Spectrafuge Mini C1301,,Labnet,,x,x,,,,,,,,,,x,,,,
422,Spectroscopes,, ,,x,x,,,x,x,,,,,,x,,,,
423,SpectroVis Optical Fiber,An accessory for the Vernier SpectroVis spectrophotometer.,Vernier Software & Technology,SVIS-FIBER,x,,,,x,,,,,,,x,,,,
424,SpectroVis Spectrophtometer,A portable spectrophotometer attachment for use with the Vernier LabQuest.,Vernier Software & Technology,SVIS,x,,,,x,,,,,,,x,,,,
425,Spirometer,An attachment to be used with the Vernier LabQuest for experiments related to air flow and lung volume.,Vernier Software & Technology,SPR-BTA,,,x,,,,,,,,,x,,,,
426,Spring Weight Precision Scale,100g, ,,x,x,x,,x,x,,,,,,x,,,,
427,Spring Weight Precision Scale2,1000g, ,,x,x,x,,x,x,,,,,,x,,,,
428,Spring Weight Precision Scale3,2500g, ,,x,x,x,,x,x,,,,,,x,,,,
429,SS Temp Probe,,Vernier Software & Technology,,x,x,,,x,x,,,,,,x,,,,
431,Stacking Weights,ELEM,SI Manufacturing,,,,,,x,,,,,,,x,,,,
432,Stainless Steel Temp Probe,,Vernier Software & Technology,,x,x,,,x,x,,,,,,x,,,,
434,Star Locating Telescope,, ,,,,,,,x,,,,,,x,,,,
436,Step-By-Step Measurement,Floormat,Learning Resources,,,,,,,,,,,,,x,,,,
438,Stethoscope,store in green box individually, ,,,,x,,,,,,,,,x,,,,
439,Stir Station,,Vernier Software & Technology,,x,,,,,,,,,,,x,,,,
441,Student Insect Net,,Forestry Supplies,,,x,,,,,,,,,,x,,,,
442,Sun Viewing Screen,, ,,,,,,,x,,,,,,x,,,,
444,Super Pulley Attachment,An attachment designed to convert a Vernier Photogate into a Smart Pulley.,Vernier Software & Technology,SPA,,,,,x,,,,,,,x,,,,
445,Surface Temperature Sensor,A sensor for use with Vernier LabQuest for use in situations in which low thermal mass or flexibility is required.  For use in air only.,Vernier Software & Technology,STS-BTA,x,x,x,,x,x,,,,,,x,,,,
447,Tanget Height Gauge,, ,,,,,,,,,,,,,x,,,,
452,Tape: Fiberglass 165'/50m,, ,,,,,,,,,,,,,x,,,,
453,Teacher Demonst. Thermometer,ELEM,SI Manufacturing,,x,x,x,,,x,,,,,,x,,,,
454,"Temperature Probe, Stainless S","A rugged, general purpose, stainless steel temperature sensor for use with Vernier LabQuest.",Vernier Software & Technology,TMP-BTA,,,,,x,,,,,,,x,,,,
456,Thermometer Sets,ELEM,NASCO,,x,x,x,,x,x,,,,,,x,,,,
488,Tree Trunk Depth Measures,, ,,,x,,,,,,,,,,x,,,,
490,TrueBlue Transilluminator,,Vernier Software & Technology,,,x,,,,,,,,,,x,,,,
491,Turbidity Sensor,,Vernier Software & Technology,,,,,,,x,,,,,,x,,,,
492,Two-Hand Pruning Shears,, ,,,x,,,,,,,,,,x,,,,
495,Verier USB Sensor,, ,,,,,,,,,,,,,x,,,,
497,Vernier Blood Pressure Sensor,,Vernier Software & Technology,,,,x,,x,,,,,,,x,,,,
498,Vernier Circuit Board,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
499,Vernier Current Probe,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
500,Vernier DO Probe,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
501,Vernier EKG Sensor,,Vernier Software & Technology,,,,x,,x,,,,,,,x,,,,
502,Vernier Force Plate,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
514,Vernier Lab Quest,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
515,Vernier Light Sensor,, ,,,,,,x,,,,,,,x,,,,
516,Vernier Magnetic Field Sensor,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
517,Vernier Microphone,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
518,Vernier Motion Detector,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
519,Vernier Optical Track,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
520,Vernier pH Sensor,,Vernier Software & Technology,,x,x,,,x,x,,,,,,x,,,,
521,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Vernier Software & Technology,VPG-BTD,,,,,x,,,,,,,x,,,,
522,Vernier Rotary Motion Sensor,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
523,Vernier Spirometer,,Vernier Software & Technology,,,,x,,x,,,,,,,x,,,,
524,Vernier SS Temp. Probe,,Vernier Software & Technology,,x,x,x,,x,x,,,,,,x,,,,
525,Vernier Surface Temp. Sensor,,Vernier Software & Technology,,x,x,x,,x,x,,,,,,x,,,,
526,Vernier System Dynamics Track,Vernier Dynamics System Dynamics Track,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
527,Vernier Voltage Probe,,Vernier Software & Technology,,,,,,x,,,,,,,x,,,,
528,Vernier Water Depth Sampler,,Vernier Software & Technology,,,,,,x,x,,,,,,x,,,,
532,Voltage Probe,A probe to be used with Vernier LabPro to measure direct voltage.,Vernier Software & Technology,VP-BTA,,,,,x,,,,,,,x,,,,
533,Vortex Mixer S0200,,Labnet,,x,x,,,,,,,,,,x,,,,
537,Weather Gauge,, ,,,,,,,x,,,,,,x,,,,
541,Wireless Dynamic Sensor System,,Vernier Software & Technology,,,,,,,,,,,,,x,,,,
43,Aquatic Biology CD,, ,,,,,,,,,,,,,,x,,,
88,Cannon Camera/4GB Memory,Cannon Camera with Kingston 4GB Memory Card, ,,,,,,,,,,,,,,x,,,
89,Canon Deluxe Tripod 200,,Canon,200,,,,,,,,,,,,,x,,,
90,Canon Filter Set FS-H37U,,Canon,FS-H37U,,,,,,,,,,,,,x,,,
91,Canon MiniTripod 7 6205A 009AA,,Canon,6205A 009AA,,,,,,,,,,,,,x,,,
92,Canon Powershot SD780 IS - Red,,Canon,SD780 IS,,,,,,,,,,,,,x,,,
93,Canon Powershot SD780 IS -Blck,,Canon,SD780 IS,,,,,,,,,,,,,x,,,
94,Canon Powershot SD780 IS -Gold,,Canon,SD780 IS,,,,,,,,,,,,,x,,,
97,CDW - ELMO Projector,,CDW,,,,,,,,,,,,,,x,,,
116,CPS RF Remote,,einstruction.com,,,,,,,,,,,,,,x,,,
117,CPS Serial Data Concentrator,,einstruction.com,,,,,,,,,,,,,,x,,,
118,CPS Standard Remote,,einstruction.com,,,,,,,,,,,,,,x,,,
122,CTR Flip Charts Training Video,CTR = Critical Thinking Reference,Mentoring Minds,,,,,,,,,,,,,,x,,,
126,Darwinian Theory Simulation,,Carolina,,,,,,,,,,,,,,x,,,
142,Dig. ELPH Cam. Accessory Kit 4,Canon Digital ELPH Camera Accessory Kit #4,Canon,"ELPH, 4",,,,,,,,,,,,,x,,,
154,Dukane Multimedia LCD projecto,, ,,,,,,,,,,,,,,x,,,
167,ELMO,ELEM INST 306,ELMO,,,,,,,,,,,,,,x,,,
168,ELMO Document Camera,,ELMO,,,,,,,,,,,,,,x,,,
169,Elmo Document Camera TT-02,Over head projector, ,,,,,,,,,,,,,,x,,,
170,ELMO TT-02S,,ELMO,TT-02S,,,,,,,,,,,,,x,,,
175,Epson DC-10s Document Camera,,Epson,,,,,,,,,,,,,,x,,,
178,eTrex Vista HCx Persnl Navgtr,Garmin eTrex Vista HCx  Personal Navigator,Garmin,HCx,,,,,,,,,,,,,x,,,
191,Flip Camera,, ,,,,,,,,,,,,,,x,,,
192,Flip Video,, ,,,,,,,,,,,,,,x,,,
231,Gizmo 8GB Flash Drive,, ,,,,,,,,,,,,,,x,,,
273,IR CPS Receiver,,einstruction.com,,,,,,,,,,,,,,x,,,
274,IR CPS Remotes,,einstruction.com,,,,,,,,,,,,,,x,,,
293,Lego Mindstorm Software,, ,,,,,,,,,,,,,,x,,,
340,NSPIRE Keypads pkg. 10,,Texas Instruments,,,,,,,,,,,,,,x,,,
342,NVivo 8 Software,, ,,,,,,,,,,,,,,x,,,
370,Podcastudio - Beringer,,Beringer,,,,,,,,,,,,,,x,,,
382,Pulse RF CPS Remote,,einstruction.com,,,,,,,,,,,,,,x,,,
391,RF Keypads - PO24123,,Edutek Midwest,PO24123,,,,,,,,,,,,,x,,,
2,0-30 Numberline Floormat,,Learning Resources,,,,,,,,,,,,,,,,,
6,12in1 PocketCard Reader/Writer,10GEAR 12-in-1 Pocket Card Reader/Writer Model #GFR209,10GEAR,GFR209,,,,,,,,,,,,,,x,,
19,8GB Gizmo USB Drive,Flash Drive Memory, ,,,,,,,,,,,,,,,x,,
23,Acer Aspire One - Model #ZG5,,Acer,ZG5,,,,,,,,,,,,,,x,,
28,Alera Cabinet,,Alera,,,,,,,,,,,,,,,x,,
41,Ape Measure Keson 165ft,, ,,,,,,,,,,,,,,,x,,
79,Bretford Laptop Cart Room 120,,Bretford,,,,,,,,,,,,,,,x,,
95,Cart,,Bretford,,,,,,,,,,,,,,,x,,
105,Clssrm Perform. Sys. Receiver,,einstruction.com,,,,,,,,,,,,,,,x,,
125,D-Net,with Pole, ,,,,,,,,,,,,,,,x,,
130,Dell Laptop Case DP458,,Dell,DP458,,,,,,,,,,,,,,x,,
131,Dell Laptop W/ Accessories,,Dell,,,,,,,,,,,,,,,x,,
132,Dell Laptops,,Dell,,,,,,,,,,,,,,,x,,
133,Dell Latitude E5500 Laptops,,Dell,E5500,,,,,,,,,,,,,,x,,
134,Dell Latitude E6500,,Dell,E6500,,,,,,,,,,,,,,x,,
135,Dell Latitude XT2,,Dell,XT2,,,,,,,,,,,,,,x,,
136,Dell Tablet Mouse,,Dell,,,,,,,,,,,,,,,x,,
137,Dell Tower,Tower of a Dell computer,Dell,,,,,,,,,,,,,,,x,,
247,HP Color Laser Jet CM2320nMFP,,Hewlett Packard,CM2320nMFP,,,,,,,,,,,,,,x,,
248,HP Color Printer CM2320n MFP,,Hewlett Packard,CM2320n MFP,,,,,,,,,,,,,,x,,
249,HP Office Printer,, ,,,,,,,,,,,,,,,x,,
250,HP ScanJet G4050,,Hewlett Packard,G4050,,,,,,,,,,,,,,x,,
251,HP Workstation RB486UT#ABA,,Hewlett Packard,RB486UT#ABA,,,,,,,,,,,,,,x,,
280,Kingston 16GB SDHC Card,,Kingston,,,,,,,,,,,,,,,x,,
281,Kingston SD HC Cards,,Kingston,,,,,,,,,,,,,,,x,,
287,Laptop Carts Bretford Series,,Bretford,LAP18,,,,,,,,,,,,,,x,,
288,Laptop Computer,,Dell,,,,,,,,,,,,,,,x,,
290,Laser (Color) Printer,,Hewlett Packard,,,,,,,,,,,,,,,x,,
321,Micro USB2.0 Flash Drive 16GB,Scandisk Cruzer Micro USB 2.0 Flash Drive -  16GB,Scandisk,2,,,,,,,,,,,,,,x,,
352,Optiplex 760 Computer,,Dell,,,,,,,,,,,,,,,x,,
373,Power Life 825 MultiMedia Proj,Epson Power Life 825 Multi Media Projector,Epson,825,,,,,,,,,,,,,,x,,
374,PowerLite Multimedia Projector,, ,,,,,,,,,,,,,,,x,,
375,PowerShot Camera,12.1 Mega Pixel, ,SD1300 IS,,,,,,,,,,,,,,x,,
394,SC-2000 Soft Carrying Case,,Canon,SC-2000,,,,,,,,,,,,,,x,,
395,Scanner,,Hewlett Packard,,,,,,,,,,,,,,,x,,
396,Scanner HP Scanjet G4050,,Hewlett Packard,G4050,,,,,,,,,,,,,,x,,
399,Scout 3 USB Connection Kit,OHSP-USB,Vernier Software & Technology,,,,,,,,,,,,,,,x,,
400,Scout Pro 120,SPE123,Ohaus,,,,,,,,,,,,,,,x,,
401,Scout Pro 2000 Scale,,Ohaus,,,,,,,,,,,,,,,x,,
402,Scout Pro 400 Scale 401,,Ohaus,SP401,,,,,,,,,,,,,,x,,
403,Scout Pro 400 Scale 402,,Ohaus,SP402,,,,,,,,,,,,,,x,,
404,Seagate USB External HardDrive,, ,,,,,,,,,,,,,,,x,,
414,Smart Board,, ,,,,,,,,,,,,,,,x,,
415,Smart Board Remotes,,Smart Tech,,,,,,,,,,,,,,,x,,
419,Sony IC Recorder ICD-BX700,,Sony,ICD-BX700,,,,,,,,,,,,,,x,,
420,Sony VoiceRecorder ICD-MX20DR9,,Sony,ICD-MX2ODR9,,,,,,,,,,,,,,x,,
430,Stacking Box Bins,8 Storage Bins, ,,,,,,,,,,,,,,,x,,
483,Toshiba Mini Books,, ,,,,,,,,,,,,,,,x,,
484,Toshiba Netbook,ELEM,Toshiba,,,,,,,,,,,,,,,x,,
489,Tripod,For use with AstroScan Telescope,Ward's,,,,,,,,,,,,,,,x,,
493,USB 8 GB Flash Drive,,CDW,Crucial Gizmo,,,,,,,,,,,,,,x,,
529,"ViewSonic VA2626wm 26"" LCD",,ViewSonic,VA2626wm,,,,,,,,,,,,,,x,,
530,VIXIA Camcorder,,Canon,HF R100,,,,,,,,,,,,,,x,,
531,Vixia HG20 Kit HD Camcorder,,Canon,Vixia HG20,,,,,,,,,,,,,,x,,
539,Webcam,,Microsoft,,,,,,,,,,,,,,,x,,
542,Wireless Eggspert,Wireless game system, ,,,,,,,,,,,,,,,x,,
543,Wireless Multimedia Presenter,Targus - Wireless Multimedia Presenter w/ Laser Pointer,Targus,,,,,,,,,,,,,,,x,,
40,Animal Tracks Book,Peterson Field Guide Books, ,,,,,,,,,,,,,,,,x,
42,Aquatic Biology Booklet,, ,,,,,,,,,,,,,,,,x,
54,Bio: A Graphing Calc. Approach,,Pencil Point Press,,,,,,,,,,,,,,,,x,
68,Book Math Games & Activities,w/ Cards, ,,,,,,,,,,,,,,,,x,
69,Book Math Games & Activities 2,w/ Dice, ,,,,,,,,,,,,,,,,x,
70,BOOK- Animal Skulls,,Stackpole Books,,,,,,,,,,,,,,,,x,
71,BOOK- Hands-On Standards,Grades 5-6, ,,,,,,,,,,,,,,,,x,
72,BOOK- Identifying Trees,,Stackpole Books,,,,,,,,,,,,,,,,x,
73,BOOK- Invasive Plants,,Stackpole Books,,,,,,,,,,,,,,,,x,
74,BOOK- Sibley Guide to Birds,,Stackpole Books,,,,,,,,,,,,,,,,x,
75,BOOK- WIldflowers of East. US,,Stackpole Books,,,,,,,,,,,,,,,,x,
76,Books & CD - Den of Inquiry,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
101,Chemistry: A Graphing...,,Pencil Point Press,,,,,,,,,,,,,,,,x,
161,Eastern Trees Book,Peterson Field Guides Books, ,,,,,,,,,,,,,,,,x,
201,Fraction Circle Activity Book,, ,,,,,,,,,,,,,,,,x,
239,Guide to Common Freshwater,Guide to Common Fresh water inverterbrates of North America Books, ,,,,,,,,,,,,,,,,x,
242,Hand On Measurement Book,ELEM,ETA,,,,,,,,,,,,,,,,x,
246,How Things Work (Book),How Things Work: The Physics of Everyday Life,WILEY,,,,,,,,,,,,,,,,x,
256,I Have..Who Has..Equivalence,ELEM,NASCO,TB21483,,,,,,,,,,,,,,,x,
260,Insects Book,Peterson Field Guides Books, ,,,,,,,,,,,,,,,,x,
292,Lego Education,, ,,,,,,,,,,,,,,,,x,
294,Lego Mindstorms Education,, ,,,,,,,,,,,,,,,,x,
306,Mammals of North America Book,Peterson Field Guides Books, ,,,,,,,,,,,,,,,,x,
307,Masterminds Riddle Math Series,Geometry and Graphing, ,,,,,,,,,,,,,,,,x,
308,Masterminds RiddleMath Series2,Multiplication & Division, ,,,,,,,,,,,,,,,,x,
309,Masterminds RiddleMath Series3,Pre-Algebra, ,,,,,,,,,,,,,,,,x,
310,Math Mat Challenge Five Senses,Talking Floormat-Sort & Match Science Games, ,,,,,,,,,,,,,,,,x,
311,Math Mat Challenge Seasons,Talking Floormat-Sort & Match Science Game,Lakeshore,,,,,,,,,,,,,,,,x,
356,"Patterns, Functions & Algebra","Authentic Learning Activities in Middle School Mathematics ""Patterns, Functions, and Algebra""",Authentic Learning Activities - Middle School Math,,,,,,,,,,,,,,,,x,
359,Peterson Field Guide to Birds,Book, ,,,,,,,,,,,,,,,,x,
385,Real World Math w/ Computers,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
388,Reptiles & Amphibians Book,Peterson Field Guides Books, ,,,,,,,,,,,,,,,,x,
397,Scientific Notebook CD,,Mackichan,,,,,,,,,,,,,,,,x,
398,Scientific Notebook Software,Scientific Notebook Software V.5.5 By Mackichan,Mackichan,V.5.5,,,,,,,,,,,,,,,x,
411,Skills Unlimted International,Skills Unlimited International Inc Great Horned Owl, ,,,,,,,,,,,,,,,,x,
496,Vernal Pools Book,Natural History & Conservation Books, ,,,,,,,,,,,,,,,,x,
503,Vernier Lab Book: A Den of Inq,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
504,Vernier Lab Books - Biology,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
505,Vernier Lab Books - Forensics,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
506,Vernier Lab Books - Mid. Schl.,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
507,Vernier Lab Books Adv. Bio.,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
508,Vernier Lab Books Earth Sci.,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
509,Vernier Lab Books Hum. Phys.,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
510,Vernier Lab Books: Chemistry,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
511,Vernier Lab Books: Elem. Sci.,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
512,Vernier Lab Books: Phys. Sci.,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
513,Vernier Lab Books: Physics,,Vernier Software & Technology,,,,,,,,,,,,,,,,x,
535,Water Weeds & Algae Book,How to Identify & Control Books, ,,,,,,,,,,,,,,,,x,
540,Wildflowers Books,Peterson Field Guides Books, ,,,,,,,,,,,,,,,,x,
547,Writing Math Research Papers,,"Key Curriculum Press, Key College Publishing",,,,,,,,,,,,,,,,x,
338,Nicolet,, ,1S5 IT1R,,,,,,,,,,,,,,,,
435,Star Theater Pro,Optical Projection System, ,,,,,,,,,,,,,,,,,
457,"TI ""Bio. w/ the TI-83 Plus""",,Texas Instruments,,,,,,,,,,,,,,,,,x
458,"TI ""Easy Data Activities...""",,Texas Instruments,,,,,,,,,,,,,,,,,x
459,"TI ""Forensics: Connecting...""",,Texas Instruments,,,,,,,,,,,,,,,,,x
460,"TI ""Real World Math Made Easy""",,Texas Instruments,,,,,,,,,,,,,,,,,x
461,TI CBL 2 System,,Texas Instruments,,,,,,,,,,,,,,,,,x
462,TI CBR Math and Sci. in Motion,"CBR - ""Math and Science in Motion: Activities for Middle School""",Texas Instruments,,,,,,,,,,,,,,,,,x
463,TI Keyboard Mod. # PLT-KBD,,Texas Instruments,PLT-KBD,,,,,,,,,,,,,,,,x
464,TI Navigator Classroom Kit,,Texas Instruments,,,,,,,,,,,,,,,,,x
465,TI Navigator Student Kit,,Texas Instruments,,,,,,,,,,,,,,,,,x
466,TI NSPIRE Calculators,,Texas Instruments,,,,,,,,,,,,,,,,,x
467,TI nSpire CAS with Touchpad,, ,,,,,,,,,,,,,,,,,x
468,TI Smartview Software,ELEM,Texas Instruments,,,,,,,,,,,,,,,,,x
469,TI View Screen S-0607H,,Texas Instruments,S-0607H,,,,,,,,,,,,,,,,x
470,TI- NSPIRE,,Texas Instruments,,,,,,,,,,,,,,,,,x
471,TI- Smartview Emulator,,Texas Instruments,Software v. 3.1,,,,,,,,,,,,,,,,x
472,TI-30x,10 in each set, ,,,,,,,,,,,,,,,,,x
473,TI-30x II Overhead Calculator,, ,,,,,,,,,,,,,,,,,x
474,TI-30x Instructor Guide,, ,,,,,,,,,,,,,,,,,x
475,TI-84 Plus Keyboard 10 pack,,Texas Instruments,N-Spine,,,,,,,,,,,,,,,,x
476,TI-84 Plus Silver Edition,,Texas Instruments,,,,,,,,,,,,,,,,,x
477,TI-NSPIRE Comp. Software Teach,,Texas Instruments,Teacher Edition v. 1.6,,,,,,,,,,,,,,,,x
478,TI-nspire Handheld,TI Calculator,Texas Instruments,NS/TPK/1L1/E,,,,,,,,,,,,,,,,x
479,TI-NSPIRE Keyboard Set,,Texas Instruments,,,,,,,,,,,,,,,,,x
480,TI-NSPIRE Software Educational,,Texas Instruments,Educational Version 1.6,,,,,,,,,,,,,,,,x
481,TI-nspire TI-84 Plus Keypads,Group of 10 in Carrying Case,Texas Instruments,NSKBD/BK/C,,,,,,,,,,,,,,,,x
485,"Trap 24""x12""",Collapsible Fish and Crawdad Trap, ,,,,,,,,,,,,,,,,,
486,"Trap 36""x12""",Collapsible Fish and Crawdad Trap, ,,,,,,,,,,,,,,,,,

